home_team,home_games,ties,home_win_rate_excl_ties,home_win_rate_incl_ties
Buffalo Bills,50.0,0.0,0.78,0.78
Green Bay Packers,50.0,0.0,0.76,0.76
Kansas City Chiefs,50.0,0.0,0.76,0.76
Baltimore Ravens,50.0,0.0,0.68,0.68
Philadelphia Eagles,50.0,1.0,0.6530612244897959,0.65
Pittsburgh Steelers,50.0,1.0,0.6530612244897959,0.65
Minnesota Vikings,50.0,0.0,0.64,0.64
Miami Dolphins,50.0,0.0,0.64,0.64
Dallas Cowboys,50.0,0.0,0.64,0.64
Oakland Raiders,8.0,0.0,0.625,0.625
Cleveland Browns,50.0,0.0,0.6,0.6
Los Angeles Rams,50.0,0.0,0.6,0.6
San Francisco 49ers,50.0,0.0,0.56,0.56
Tampa Bay Buccaneers,50.0,0.0,0.56,0.56
New Orleans Saints,50.0,0.0,0.54,0.54
Seattle Seahawks,50.0,0.0,0.54,0.54
Indianapolis Colts,50.0,0.0,0.52,0.52
Denver Broncos,50.0,0.0,0.52,0.52
Cincinnati Bengals,49.0,0.0,0.5102040816326531,0.5102040816326531
Tennessee Titans,50.0,0.0,0.5,0.5
Detroit Lions,50.0,0.0,0.48,0.48
Washington Commanders,26.0,0.0,0.46153846153846156,0.46153846153846156
Los Angeles Chargers,50.0,0.0,0.46,0.46
Las Vegas Raiders,42.0,0.0,0.4523809523809524,0.4523809523809524
Atlanta Falcons,50.0,0.0,0.44,0.44
New England Patriots,50.0,0.0,0.44,0.44
Chicago Bears,50.0,0.0,0.42,0.42
Houston Texans,50.0,1.0,0.40816326530612246,0.41
New York Jets,50.0,0.0,0.38,0.38
Jacksonville Jaguars,50.0,0.0,0.38,0.38
Washington Football Team,16.0,0.0,0.375,0.375
Arizona Cardinals,50.0,1.0,0.3673469387755102,0.37
New York Giants,50.0,1.0,0.3673469387755102,0.37
Carolina Panthers,50.0,0.0,0.32,0.32
Washington Redskins,8.0,0.0,0.125,0.125
